residence	name	username	blood_group	ssn	mail	registration	job	user_id	address	company	birthdate	station_ID
	Dr. Mirco Dobes B.Sc.	angelo64	O+	614-08-2732	dietertrupp@gmail.com	22 Jul 2022		445	"Sybille-Döhn-Allee 24/72
88601 Lörrach"	Geisel Eberhardt KG		708
	Yago Costa	ravyduarte	B-	57063248910	yda-mata@ig.com.br	02 Apr 2021		1293		Macedo		369
	Paola Paganini	zaira41	AB-	BBTCHR21B18B691Y	tangeli@tele2.it	2020/06/22	Field trials officer	179	"Canale Fabia, 47
37127, Avesa (VR)"	Sokolov s.r.l.		404
	Amber Miller	kellytracy	B+	207-22-8033	christopher48@hotmail.com	01/12/2025, 00:00:00		392		Thompson-Young	2010-06-11	45
	坂本 康弘	minorutakahashi	AB-	460-14-1323	hideki42@hotmail.com	2024/05/19	ゲームクリエイター	467	大分県武蔵野市中小来川35丁目1番17号 上吉羽シャルム021	三浦情報合同会社		120
	Gustavo Santos	fogacaapollo	AB+	47062593800	nicolas02@bol.com.br	28 Jan 2019		1879		Cunha Peixoto - ME	2018-10-02	339
	Laura Bell	rodrigueztyler	O+	108-98-8780	kimberly09@yahoo.com	04 Jul 2022		2090	"5320 Cathy Track
Port Michelle, WY 78008"	Jones LLC	1969-05-25	586
	Sarah Nunes	xfogaca	A+	42098763131	davi-luccamachado@gmail.com	20 Oct 2019	Serventuário	374	"Núcleo Luísa Nunes, 5
Vila Satélite
42546-042 Araújo / CE"	Novais	1987-07-30	411
	James Harris DVM	amber19	B+	407-86-9931	erickey@gmail.com	2023-01-25		1229	"3033 Tanya Square
Leestad, PW 12143"	Dunn, Hamilton and Carr	1912-10-16	349
	福田 真綾	akira99	AB+	327-01-6067	saitorei@yahoo.com	2024-08-02	音響技術者	255	沖縄県鎌ケ谷市津久戸町18丁目4番17号	株式会社林銀行		59
	Dott. Emma Montalti	fiorenzo47	A+	PRDLRT54D15A507D	rosario31@gmail.com	2024-04-29		176	"Incrocio Gloria, 7 Appartamento 8
10136, Torino (TO)"	Farinelli-Bruscantini e figli	1978-11-14	411
	Valentina Canetta	gabriele67	AB+	TRCSNR04E60D910I	giorgia71@tiscali.it	2024-11-18		332	"Canale Petrassi, 38
96018, Marzamemi (SR)"	Giannone-Tamburini s.r.l.	2013-02-19	600
	Timothy Sanders DVM	davidsonmaureen	A+	538-39-0512	yreed@gmail.com	2019-08-17		1352	"PSC 8427, Box 2277
APO AA 14060"	Moore, Clark and Odom	1987-01-25	483
	井上 春香	jnakagawa	B+	344-92-9957	jsuzuki@yahoo.com	2019/01/23		1067	埼玉県三宅島三宅村港南10丁目13番1号	山田農林合同会社	1965-12-09	77
	Vanessa Medina	xramirez	B+	834-41-0052	georgelowery@yahoo.com	25 Aug 2022		253	"2482 Mary Springs
West Lauraport, KS 63795"	Davies LLC		462
	Milena Villadicani	bereniceparri	A+	PRSGRN38H49L036Q	imeldaroncalli@tele2.it	28 Oct 2024	Ceramics designer	926	"Rotonda Peranda, 9
38077, Bagni Di Comano (TN)"	Comeriato e figli	1912-11-18	354
	Frau Charlotte Köster	keigenwillig	O-	407-96-2453	buchholzandrea@yahoo.de	20 Mar 2025		763	"Hannah-Wohlgemut-Weg 30/40
58792 Bogen"	Jockel Weinhage KG		572
	Jeremiah Lane	pjohnson	A-	706-36-8835	davidmorse@yahoo.com	2021-08-29	Scientist, forensic	1555		Williams Group	1983-11-08	186
	池田 花子	watanabenaoki	AB-	263-19-8548	minoru87@yahoo.com	2020/12/27	行政書士	701	福島県東久留米市睦8丁目21番2号 戸山シャルム696	清水食品株式会社	1954-12-30	552
	Aurora Pacheco	ncasa-grande	O+	92370164840	freitasrafaela@bol.com.br	12/24/2024, 00:00:00		899	"Ladeira Liz Pacheco, 54
Nossa Senhora Da Conceição
05245-995 Mendes do Campo / PA"	Pinto		507
	佐々木 春香	kaorikato	O+	570-30-7163	watanabesotaro@yahoo.com	16 Jun 2024	検察官	1791	大阪府香取市花島38丁目25番2号	太田情報株式会社		653
	Annelise Trupp	vogtsilvester	O+	928-25-6905	aschuster@hotmail.de	24 Feb 2022		670	"Holtstraße 2/7
34790 Brandenburg"	Eckbauer GbR	1917-03-06	137
	Virgilio Antelami-Foa	marcobalbo	O-	MDRMCL20H51D423B	donnafantozzi@tele2.it	07/01/2019, 00:00:00	Operational investment banker	119	"Vicolo Binaghi, 734
70042, San Maderno (BA)"	Collina, Pavarotti e Zecchini s.r.l.	1919-07-21	514
	Sig.ra Nadia Trevisan	tedescoguarino	O+	LSSLLD95R53B774C	dpisani@vodafone.it	12/12/2021, 00:00:00		188	"Stretto Prodi, 58 Appartamento 56
58023, Miniera (GR)"	Marini, Ceri e Giammusso e figli	2005-12-02	407
	Allegra Morellato	lillacomeriato	O-	VCLMRN78S66F551A	barozzilidia@virgilio.it	04/12/2022, 00:00:00		1300	"Stretto Eraldo, 245
56046, Riparbella (PI)"	Maderna, Maspero e Muti SPA		580
	Viridiana Paolucci-Cainero	ossolateresa	A+	SFRPMP10P50A783K	elladio54@fastwebnet.it	11/16/2023, 00:00:00		1847	"Via Albertini, 48 Appartamento 1
24035, Curno (BG)"	Pincherle Group		541
	Carl Rodriguez	edwardslori	O-	495-50-8520	reevesmark@hotmail.com	01/15/2020, 00:00:00		1548	"6300 Atkinson Motorway Apt. 082
North William, OR 80585"	Dunn, Cook and Smith	1953-05-16	372
	Henry Gabriel Machado	rpimenta	AB+	43186590701	jnovaes@bol.com.br	26 Jun 2025		774	"Setor de Macedo, 858
Teixeira Dias
06428-659 Pimenta da Prata / RR"	Moura		302
	Herr Otfried Lübs MBA.	nataliaoderwald	B+	270-20-4618	nerminhartung@gmail.com	2019-09-01		2187	"Johannstraße 4/4
16629 Griesbach Rottal"	Gehringer GbR		564
	Ana Carolina Pimenta	gpacheco	AB-	16538974066	da-cruzlevi@hotmail.com	2023-10-11		1106	"Trecho Fogaça, 69
Cidade Nova
25349-421 Cardoso dos Dourados / PR"	Lima - ME		367
	Dott. Eraldo Scialpi	tacchiniarsenio	O-	CNLRMD10S50D613A	ilariacortese@libero.it	09/09/2021, 00:00:00	Production manager	546	"Contrada Rosalia, 877
80041, Boscoreale (NA)"	Padovano-Desio SPA		53
	Mitchell Price	robertmunoz	AB-	361-43-9174	mileslarry@yahoo.com	07/06/2021, 00:00:00	Ceramics designer	950	"151 Eric Summit
New Shawn, FL 35875"	Schmidt LLC	2014-06-08	608
	Dina Doglioni	costanzochittolini	AB+	VNDSBL59H11G937Q	qcomencini@live.com	01/02/2023, 00:00:00	Financial trader	618	"Piazza Duse, 66 Piano 2
48015, Pisignano (RA)"	Castioni, Gritti e Michelangeli SPA	1949-02-11	167
	Isabella Ferreira	silveiraluisa	O+	69854031748	leaojoana@yahoo.com.br	08/21/2020, 00:00:00		482	"Rodovia Mendes, 65
Savassi
89504727 Mendonça de Casa Grande / SE"	Sousa S.A.	1924-04-25	642
	Delfino Guicciardini	pirellimarina	AB+	VLLGCH02L57L153R	janichini@vodafone.it	05/10/2021, 00:00:00		252		Galuppi-Cesarotti SPA	2008-04-14	51
	Lucas Gabriel Mendes	kevincirino	O+	42073981631	vfarias@bol.com.br	09 Jun 2024		1893	"Ladeira Cecília Vasconcelos, 724
Nova Vista
07763678 Pacheco da Praia / MT"	Fernandes	1916-02-15	28
	Mattias Mende B.A.	ingrid30	B+	378-45-8866	claasoderwald@gmail.com	10/13/2020, 00:00:00	Chemikant	1304	"Jesselstr. 13-60
09432 Deggendorf"	Fischer GbR		508
	Ravi Pinto	da-cunhaantony	AB-	31254890670	ferreirajulia@hotmail.com	2022-06-21		1001		Monteiro		105
	Ilaria Gasperi	gianfrancoboldu	O+	MSSSBL99B05F701M	babatomariano@gmail.com	2020/09/16		1464	"Piazza Beccheria, 17
81023, Forchia Di Cervino (CE)"	Toselli-Ferrazzi Group	2025-09-11	105
	Antonietta Scarpa	renzo65	O+	JVNMRA79E45L814S	ignaziospanevello@hotmail.it	2025/06/14		2108	"Incrocio Caruso, 64 Piano 6
38015, Pressano (TN)"	Zanazzo-Cantimori SPA	1915-01-10	455
	Bettina Merisi	delfinocutuli	O-	MNTCRL40R48F002N	sguarato@tin.it	15 Feb 2025	Production assistant, radio	60	"Canale Abate, 2 Appartamento 4
90126, Palermo (PA)"	Zito, Stefanelli e Staglieno e figli	1943-11-22	78
	Univ.Prof. Joachim Keudel B.Eng.	fjaekel	B+	727-27-4032	ukiller@gmail.com	01 Apr 2024		413		Conradi e.G.	2004-07-15	27
	Mariana Donatoni-Salvini	ksquarcione	AB-	CSLPRC05L05G580Z	valeriaabbagnale@yahoo.com	2025/03/13		1679	"Piazza Miniati, 3 Piano 1
35031, Monteortone (PD)"	Boldù s.r.l.		444
	Francisco Wilkerson	xguzman	A+	636-72-0239	vlawson@gmail.com	2025/02/25		640		Bond-Reyes		604
	Thomas Miller	mariaray	A+	488-21-6141	davidpowell@hotmail.com	17 May 2022		884	"827 Rodriguez Mall Apt. 894
Howardville, IL 35316"	Myers Inc		90
	Danilo Vargas	scaldeira	O-	06542391770	bianca07@uol.com.br	2019-09-26	Topógrafo	2084	"Aeroporto Arthur Gabriel Montenegro, 1
Nossa Senhora Aparecida
84115-364 Sales / PB"	Barros Ltda.		417
	Maria Fernanda Rodrigues	oda-rosa	A+	86239574074	brenocosta@uol.com.br	2019-11-27	Economista doméstico	4	"Conjunto de Câmara, 7
Santa Amelia
84431-188 Montenegro Alegre / CE"	Martins - ME		70
	橋本 太郎	yasuhiro72	O+	622-51-3469	ssato@hotmail.com	06 Nov 2021		1974		加藤電気株式会社	1977-02-05	383
	Reinhart Schmidt	zhuhn	B-	893-29-1945	barthmercedes@googlemail.com	24 May 2025		1587	"Berthold-Hande-Weg 66/83
21864 Königs Wusterhausen"	Zänker	1920-04-28	684
	Jessica Dixon	reedalexis	B-	145-02-4061	vlogan@gmail.com	02 Jul 2020		714	"0171 Denise Row Suite 928
Katherineland, IA 94945"	Castillo LLC	1964-06-10	55
	Gilberto Visconti-Goldoni	elladiolupo	O+	FOAVNN69A69D259M	agostinelliangelo@gmail.com	07 Nov 2019	Therapist, drama	1705	"Borgo Brunelleschi, 51 Appartamento 3
10082, Salto Canavese (TO)"	Camiscione-Cammarata Group		259
	Andrew Lara	ashley40	A+	529-39-6669	martin99@yahoo.com	01/07/2024, 00:00:00		1798		Gilbert, Walker and Neal		171
	Christopher Dillon	astanley	AB-	151-17-0144	mcampbell@gmail.com	2025/07/27	Horticulturist, commercial	24	"65912 Torres Forge Apt. 781
Davidville, OH 22006"	Jacobs-Garcia		258
	Ing. Rupert Schmiedt B.A.	brust	A-	498-61-1284	george71@googlemail.com	01 Aug 2023		899	"Nicolaus-Scheibe-Straße 6
98829 Wetzlar"	Röhrdanz Klemt OHG mbH		320
	Christopher Horton	melendezgabriel	A+	301-35-5618	orozcolisa@hotmail.com	2023/05/27		1790		Reeves-Klein		540
	Sig.ra Isa Jilani	camannimilo	AB+	DSCPTZ58S55I110P	antoniettanotarbartolo@yahoo.com	01/08/2020, 00:00:00		2124		Ajello Group	1948-09-11	469
	Sig. Alphons Canil	bombierichiara	B+	SQRCLC97L47G713Y	nicolo60@hotmail.it	2021-09-24	Textile designer	1161		Amaldi Group	1925-03-04	656
	Dott. Donatella Iannelli	folettiruggero	A-	PTRGRL22T25L975N	majello@tin.it	15 Jun 2019		294	"Rotonda Graziella, 91 Piano 5
45021, Villa D'Adige (RO)"	Baracca e figli	1993-10-21	557
	William Chan	amandasimpson	B-	209-82-2128	jhorton@gmail.com	08 Aug 2023		1338	"8044 Elizabeth Green Apt. 708
Port Amy, SD 02677"	Casey Group	1968-07-12	609
	Sean Price	lopezjeanette	O-	017-99-7691	bcollier@yahoo.com	04/22/2022, 00:00:00		813		Sexton LLC	2000-03-15	263
	Gustavo Scarfoglio	adrianabragadin	B-	PNMSMT87A03A940T	franzesegianfranco@hotmail.com	2022-07-01		568	"Canale Vincentio, 49 Piano 6
31018, Campomolino (TV)"	Cundari-Vigliotti e figli	1915-03-06	355
	Gastone Grifeo	pmarenzio	B-	CRSDNL01M55H739Y	garzonialfredo@gmail.com	09 May 2024	Marketing executive	1678		Gagliano-Pavanello Group	1911-01-10	54
	Frau Christiane Klingelhöfer	heinbabette	AB+	552-98-1525	luebskarl-heinz@web.de	04 Dec 2023		1372	"Paul-Gerhard-Zimmer-Straße 3393
85361 Neuruppin"	Holsten AG	1915-07-28	342
	清水 亮介	jishii	O+	407-28-7415	takuma95@hotmail.com	2024/06/20	音響技術者	858	茨城県横浜市金沢区平河町33丁目19番18号	株式会社斎藤ガス	1955-05-18	671
	Dr. Benjamin Freitas	bryan46	A-	60937215821	borgesbrayan@ig.com.br	06/14/2023, 00:00:00		287	"Ladeira de Ferreira, 3
Nova America
01450-546 da Mota / MA"	Carvalho Borges - EI	2005-02-11	667
	Pasquale Nicoletti	dbignami	O-	PRTRFL73D14E767A	francesco71@hotmail.it	12/27/2024, 00:00:00		735	"Canale Riccardo, 21 Appartamento 2
23884, Cologna (LC)"	Bragaglia-Vespa Group	1985-09-25	525
	Luka auch Schlauchin	marielestiffel	B+	298-81-5437	lidiaknappe@yahoo.de	2019/09/15		1205		Ehlert	1966-06-19	224
	Vicente Cassiano	gcamara	AB+	51063249805	antonio27@gmail.com	2022/09/29	Cirurgião bucal	845	"Avenida de Pereira, 88
Novo Das Industrias
01782-813 Nunes Paulista / AM"	Jesus da Mota - EI	2005-08-11	427
	森 京助	byamada	AB-	512-81-1250	maayatakahashi@hotmail.com	2020/09/16		454	千葉県狛江市所野19丁目1番9号	渡辺運輸有限会社		127
	Univ.Prof. Bela Nette	jolanda85	AB-	400-49-1938	samirabarkholz@web.de	10/15/2024, 00:00:00	Mechaniker	1828	"Hörleplatz 6/8
44349 Brandenburg"	Wernecke KG	1969-08-04	129
	Lidia Pizzamano-Lancisi	pucciovespucci	O-	MFFLRN48T07D856C	morandinivirgilio@yahoo.com	23 Aug 2019		622		Argenti s.r.l.	1965-03-17	601
	Dott. Guido Meucci	camilla19	O-	DVRLCN30E17B937L	nroncalli@yahoo.com	2021/08/02		1667	"Piazza Pierpaolo, 9 Appartamento 50
12075, Garessio Borgo Ponte (CN)"	Salgari-Cabrini s.r.l.	1912-12-05	362
	加藤 知実	jabe	A+	582-32-8215	okamotokazuya@hotmail.com	2021-09-27	アニメーター	412		小林運輸有限会社	1944-09-05	683
	Shelby Allen	sean29	AB-	439-96-0200	cynthialopez@yahoo.com	2022/04/15		1266	"5546 Clarke Divide Apt. 177
Henrybury, MS 59950"	Walter, Oconnell and Norman	2018-06-26	129
	Winfried Krebs	buchholzana	O+	738-81-7609	bwinkler@yahoo.de	21 Jun 2019		1819	"Christa-Hornig-Platz 24/25
90560 Saarbrücken"	Bolander	1987-12-29	664
	佐藤 直子	tendo	AB-	854-61-2829	fujitamanabu@yahoo.com	17 Sep 2020		1271		有限会社鈴木食品		338
	Paride Odescalchi	doriapier	B+	PNMGMM53E20D496E	lamberto30@tin.it	2024/11/02	Neurosurgeon	959	"Via Sylvia, 97 Piano 6
98041, Monforte San Giorgio (ME)"	Tarchetti, Brambilla e Giannetti e figli	1948-03-09	454
	渡辺 幹	wtanaka	AB+	846-51-8057	suzukimanabu@yahoo.com	07 Dec 2023		501		山下ガス株式会社	1931-11-14	265
	Joshua Schultz	samantha88	A-	378-85-7239	williamschristina@yahoo.com	28 Sep 2024	Psychologist, sport and exercise	1620	"6549 Johnson Tunnel
New Timothyville, NE 30673"	Cooper-Holmes	1961-03-02	397
	Dott. Tiziana Agostinelli	vrienzo	O-	BJMCRD69D41H707M	maria33@fastwebnet.it	2019-12-12		276	"Canale Agostini, 6
80060, Massaquano (NA)"	Colletti, Prada e Sraffa s.r.l.		319
	Lunna Pastor	marianeda-paz	AB-	97152806411	freitaskevin@uol.com.br	02/19/2025, 00:00:00		694	"Distrito Pedro Lucas Marques, 71
Minas Brasil
89906463 Jesus / RJ"	Brito Ltda.	1952-11-27	277
	Pierpaolo Guarneri	filippelliadriano	O-	MRTSNT09T53I594Z	nittoubaldo@gmail.com	2023-02-18		536	"Viale Iacobucci, 21
62011, Grottaccia (MC)"	Carriera-Rienzo s.r.l.		513
	Benjamim Moraes	gustavo11	B+	40528716344	limaana-carolina@yahoo.com.br	07/22/2023, 00:00:00		1127	"Residencial Rael Fonseca, 80
Acaba Mundo
01715662 Melo da Serra / MA"	Moura		569
	Wigbert Hölzenbecher	geza50	A+	633-27-6772	tomstriebitz@googlemail.com	11 May 2021		1912	"Daniel-Baum-Platz 871
28673 Eisleben"	Tlustek Lübs GmbH	1919-05-03	650
	Brittany Ellis	parkserin	AB-	208-56-2977	jacobtate@gmail.com	2023/03/05		576	"USNV Wright
FPO AE 87059"	Coleman-Fischer		410
	Bernd Grein Groth-Schuster	krausheidelore	A-	622-45-1009	luzie04@googlemail.com	03/17/2023, 00:00:00	Mathematiker	579	"Sebastiano-Bärer-Allee 30
56751 Ludwigslust"	Bonbach Koch GmbH & Co. KG	1982-04-22	98
	坂本 里佳	chiyo92	AB-	033-33-4697	kondoyosuke@hotmail.com	2022/05/28		312	静岡県渋谷区所野8丁目6番9号 ハイツ台場218	佐藤食品合同会社	1943-08-08	11
	Claus-Dieter Kade-Beckmann	swetlana55	O-	368-95-2444	wilhelmreuter@web.de	2019-03-06		1591	"Mühlestr. 32-28
76135 Ahaus"	Hermighausen	1987-03-31	369
	Patricia Vega	sandersgary	A-	155-62-8346	mccarthymolly@yahoo.com	2025-04-27		2145	"4264 Julie Ford Suite 704
Bennettchester, IA 74444"	Morgan, Henson and Underwood		419
	John Giles	williamrichards	B-	729-80-9897	chapmanrhonda@yahoo.com	12/29/2023, 00:00:00		868	"1015 Pamela Hollow
Nicholashaven, AS 40118"	Brown-Riddle	1971-11-26	569
	長谷川 翔太	yuki16	AB-	498-56-3144	tanakaminoru@yahoo.com	23 Jan 2025	公務員	350	鹿児島県長生郡睦沢町箪笥町8丁目12番19号 ハイツ勝どき557	有限会社石川印刷	1928-11-15	691
	Dott. Graziella Boaga	vincenzo44	AB+	FRNRTI46D25D255W	upetruzzi@hotmail.com	08/03/2021, 00:00:00		69	"Vicolo Annunziata, 1 Appartamento 4
09094, Sant'Anna (OR)"	Zaccagnini, Turati e Sobrero s.r.l.	1969-05-20	545
	Davi Miguel Nogueira	umoreira	AB-	72436185964	thiagopimenta@yahoo.com.br	2024-11-25		1281	"Residencial Gonçalves, 387
Leticia
14750400 Oliveira / ES"	Rocha Rocha S.A.	1916-12-28	704
	Kendra Miller	jessica55	O-	027-47-0667	denisejennings@gmail.com	19 Oct 2022	Development worker, community	667	"270 Martinez Cove Apt. 866
East Garrett, NY 92438"	Elliott PLC	1933-08-29	138
	Sig. Riccardo Cilibrasi	fabio19	AB-	PRNDRD25H70H878L	annunziataguicciardini@tim.it	2019-11-06		2057	"Vicolo Mattia, 419
27025, Gambolo' (PV)"	Scotti s.r.l.		551
	Rembrandt Salandra-Beccaria	marcantonioalfonsi	AB-	SCRLME62C61L624Q	rasmundo@gmail.com	10/03/2024, 00:00:00	Estate agent	2027	"Canale Badoglio, 92
36034, San Tomio (VI)"	Majewski SPA	1988-02-19	603
	Sabrina Payne	carolyn05	O-	569-75-2400	robertoprice@hotmail.com	10/23/2018, 00:00:00		1212	"857 Scott Circle
New Jefferystad, CO 86289"	Norman LLC	1959-12-24	158
	Camillo Gritti	sandro84	A+	SRGNTN64B18H850Z	lolitaproietti@gmail.com	2023/09/13	Make	469		Blasi, Riccati e Palladio e figli		599
	Dana Harris	hernandezcraig	AB-	498-63-3414	markwinters@hotmail.com	2019-08-22	Geophysicist/field seismologist	169		Harvey-Silva	1962-01-19	374
	Diana Rice	kaitlyn60	O+	615-43-0521	christina15@gmail.com	2022-11-24		1094	"1915 Phillips Islands Suite 317
Smithfort, KS 11065"	Davis, Ferguson and Rice	1991-09-16	378
	Timothy Allen	robertsmarie	AB+	708-20-6686	ahenson@yahoo.com	2024/09/30		126	"025 Edwards Ville
South Lori, DE 43825"	Moran-King	1985-10-12	480
	Tonino Crespi	federigo19	A-	MRLSSN03C14D100B	atenulfangiolello@hotmail.it	01 Jul 2022		263	"Via Beatrice, 389 Piano 9
48011, Alfonsine (RA)"	Donatoni-Carducci s.r.l.		639
	木村 桃子	yasuhiroishii	A-	670-78-8429	shotamori@yahoo.com	19 May 2023	アイドル	1532	石川県横浜市瀬谷区中鉢石町12丁目5番20号 戸塚町クレスト022	田中水産合同会社		237
